,weight,keyword,filename
0,,Journal,nihms27532.pdf
1,,Physiology,nihms27532.pdf
2,,No. 2,nihms27532.pdf
3,,Pleiades Publishing,nihms27532.pdf
4,,M.G. Belekhova,nihms27532.pdf
5,,T.V.,nihms27532.pdf
6,,published,nihms27532.pdf
7,,Zhurnal,nihms27532.pdf
8,,Fiziologii,nihms27532.pdf
9,,No. 2,nihms27532.pdf
10,,Calcium-Binding Proteins,nihms27532.pdf
11,,Parvalbumin,nihms27532.pdf
12,,Calbindin,nihms27532.pdf
13,,Pigeon Telencephalic,nihms27532.pdf
14,,Auditory CenterN. B. Kenigfesta,nihms27532.pdf
15,,M. G. Belekhovaa**,nihms27532.pdf
16,,T. V. Chudinovaaa Sechenov Institute,nihms27532.pdf
17,,Evolutionary Physiology,nihms27532.pdf
18,,Biochemistry,nihms27532.pdf
19,,Russian Academy of Sciences,nihms27532.pdf
20,,St. Petersburg,nihms27532.pdf
21,,Russiab,nihms27532.pdf
22,,Paris,nihms27532.pdf
23,,"France*kenig51@yahoo.com, **belekhova@yahoo.comReceived April 18",nihms27532.pdf
24,,2016Abstract,nihms27532.pdf
25,,Immunoreactivity,nihms27532.pdf
26,,calcium-binding proteins parvalbumin,nihms27532.pdf
27,,PV,nihms27532.pdf
28,,calbindin,nihms27532.pdf
29,,CB,nihms27532.pdf
30,,pigeon,nihms27532.pdf
31,,Columba livia,nihms27532.pdf
32,,regions,nihms27532.pdf
33,,distribution,nihms27532.pdf
34,,patterns,nihms27532.pdf
35,,PV,nihms27532.pdf
36,,CB,nihms27532.pdf
37,,immunoreactivity,nihms27532.pdf
38,,central (L2),nihms27532.pdf
39,,"peripheral (L1, L3",nihms27532.pdf
40,,CMM,nihms27532.pdf
41,,layers,nihms27532.pdf
42,,dissimilar,nihms27532.pdf
43,,inner L1 sublayer,nihms27532.pdf
44,,L1i,nihms27532.pdf
45,,immunoreactivity,nihms27532.pdf
46,,neuropil,nihms27532.pdf
47,,proteins,nihms27532.pdf
48,,presence,nihms27532.pdf
49,,numerous,nihms27532.pdf
50,,small densely packed,nihms27532.pdf
51,,granular-type cells,nihms27532.pdf
52,,heavily stained PV-ir,nihms27532.pdf
53,,rule,nihms27532.pdf
54,,stained CB-ir,nihms27532.pdf
55,,neurons,nihms27532.pdf
56,,Lli,nihms27532.pdf
57,,neurons,nihms27532.pdf
58,,density,nihms27532.pdf
59,,neuropil,nihms27532.pdf
60,,immunoreactive,nihms27532.pdf
61,,proteins,nihms27532.pdf
62,,decreased,nihms27532.pdf
63,,outer L1 sublayer,nihms27532.pdf
64,,L1e,nihms27532.pdf
65,,L3,nihms27532.pdf
66,,CMM,nihms27532.pdf
67,,characterized,nihms27532.pdf
68,,lesser density,nihms27532.pdf
69,,irregular,nihms27532.pdf
70,,distribution,nihms27532.pdf
71,,immunoreactive,nihms27532.pdf
72,,neuropil,nihms27532.pdf
73,,heterogenous,nihms27532.pdf
74,,PV-ir,nihms27532.pdf
75,,neurons,nihms27532.pdf
76,,morphological types,nihms27532.pdf
77,,increased,nihms27532.pdf
78,,multipolar cells,nihms27532.pdf
79,,PV,nihms27532.pdf
80,,CB,nihms27532.pdf
81,,immunoreactivity,nihms27532.pdf
82,,regions,nihms27532.pdf
83,,pigeon,nihms27532.pdf
84,,similarity,nihms27532.pdf
85,,laminar auditory cortex,nihms27532.pdf
86,,mammals,nihms27532.pdf
87,,DOI,nihms27532.pdf
88,,words,nihms27532.pdf
89,,telencephalic auditory center,nihms27532.pdf
90,,calcium-binding proteins,nihms27532.pdf
91,,birds.parvalbumin,nihms27532.pdf
92,,SPO,nihms27532.pdf
93,,nucleus semilunaris,nihms27532.pdf
94,,studies,nihms27532.pdf
95,,expression,nihms27532.pdf
96,,calcium-binding proteins,nihms27532.pdf
97,,CaBP,nihms27532.pdf
98,,mesen-cephalic,nihms27532.pdf
99,,thalamic auditory,nihms27532.pdf
100,,pi-geon,nihms27532.pdf
101,,study,nihms27532.pdf
102,,distribution,nihms27532.pdf
103,,parvalbumin,nihms27532.pdf
104,,PV,nihms27532.pdf
105,,calbin-din (CV,nihms27532.pdf
106,,pigeon thalamic auditory center,nihms27532.pdf
107,,Ov,nihms27532.pdf
108,,core,nihms27532.pdf
109,,organization,nihms27532.pdf
110,,avian,nihms27532.pdf
111,,species,nihms27532.pdf
112,,stud-Abbreviations,nihms27532.pdf
113,,СаВРr,nihms27532.pdf
114,,calcium-binding pro-teins,nihms27532.pdf
115,,СВ,nihms27532.pdf
116,,calbindin,nihms27532.pdf
117,,CLM,nihms27532.pdf
118,,mesopallium,nihms27532.pdf
119,,cau-dolaterale,nihms27532.pdf
120,,CMM,nihms27532.pdf
121,,mesopallium caudomediale,nihms27532.pdf
122,,СО,nihms27532.pdf
123,,cytochrome oxidase,nihms27532.pdf
124,,DA,nihms27532.pdf
125,,tractus dorsoar-copallialis,nihms27532.pdf
126,,ir—,nihms27532.pdf
127,,immunoreactive,nihms27532.pdf
128,,MGB,nihms27532.pdf
129,,corpus geniculatum,nihms27532.pdf
130,,mediale,nihms27532.pdf
131,,MLD,nihms27532.pdf
132,,nucleus mesence-phalicus lateralis,nihms27532.pdf
133,,pars dorsalis,nihms27532.pdf
134,,L,nihms27532.pdf
135,,telencephalic,nihms27532.pdf
136,,L2—L central layer,nihms27532.pdf
137,,Lam—lamina mesopallialis,nihms27532.pdf
138,,L3—L peripheral layers,nihms27532.pdf
139,,L1е—L1 outer sublayer,nihms27532.pdf
140,,L1i—L1 inner sublayer,nihms27532.pdf
141,,nCe,nihms27532.pdf
142,,nucleus centralis,nihms27532.pdf
143,,NCM,nihms27532.pdf
144,,nidopallium,nihms27532.pdf
